http://voto.se/poll/SciInfoPresentation													
Presentation_Grade_160311													
Level	10	9	8	7	5								
Question 1 to 4						Votes	Score					Total	Average
Wolverine	4	7	7	2	1	21	40	63	56	14	5	178	8.476190476
Eagle unit	4	5	7	4	1	21	40	45	56	28	5	174	8.285714286
Union	2	6	7	6	0	21	20	54	56	42	0	172	8.19047619
Hanky phanky	0	7	8	4	2	21	0	63	64	28	10	165	7.857142857
Question 5 to 8													
Wolverine	3	6	7	4	1	21	30	54	56	28	5	173	8.238095238
Eagle unit	3	8	4	5	1	21	30	72	32	35	5	174	8.285714286
Union	2	6	9	3	1	21	20	54	72	21	5	172	8.19047619
Hanky phanky	0	9	5	5	1	20	0	81	40	35	5	161	8.05
Question 9 to 12													
Wolverine	6	8	2	4	1	21	60	72	16	28	5	181	8.619047619
Eagle unit	4	6	5	5	1	21	40	54	40	35	5	174	8.285714286
Union	3	4	11	3	0	21	30	36	88	21	0	175	8.333333333
Hanky phanky	1	7	7	4	2	21	10	63	56	28	10	167	7.952380952
Question 13 to 16													
Wolverine	4	3	6	3	5	21	40	27	48	21	25	161	7.666666667
Eagle unit	4	4	3	5	5	21	40	36	24	35	25	160	7.619047619
Union	2	2	8	7	2	21	20	18	64	49	10	161	7.666666667
Hanky phanky	1	5	6	6	3	21	10	45	48	42	15	160	7.619047619
													
Presentation_Grade_160415													
Level	10	9	8	7	5								
Question 1 to 3						Votes	Score					Total	Average
Wolverine	3	11	5	3	0	22	30	99	40	21	0	190	8.636363636
Eagle unit	9	5	5	3	0	22	90	45	40	21	0	196	8.909090909
Union	0	3	8	10	1	22	0	27	64	70	5	166	7.545454545
Question 4 to 6													
Wolverine	2	8	10	2	0	22	20	72	80	14	0	186	8.454545455
Eagle unit	7	7	5	3	0	22	70	63	40	21	0	194	8.818181818
Union	0	4	8	10	1	23	0	36	64	70	5	175	7.608695652
Question 7 to 9													
Wolverine	3	9	7	2	1	22	30	81	56	14	5	186	8.454545455
Eagle unit	8	6	5	3	0	22	80	54	40	21	0	195	8.863636364
Union	1	3	9	8	1	22	10	27	72	56	5	170	7.727272727
Question 10 to 12													
Wolverine	3	7	8	3	1	22	30	63	64	21	5	183	8.318181818
Eagle unit	8	4	6	3	1	22	80	36	48	21	5	190	8.636363636
Union	1	1	11	7	2	22	10	9	88	49	10	166	7.545454545
													
Presentation_Grade_160506													
Level	10	9	8	7	5								
Question 1 to 3						Votes	Score					Total	Average
Wolverine	1	9	12	2	0	24	10	81	96	14	0	201	8.375
Eagle unit	9	6	5	4	0	24	90	54	40	28	0	212	8.833333333
Union	5	6	10	2	1	24	50	54	80	14	5	203	8.458333333
													
Presentation_Grade_160603													
Level	10	9	8	7	5								
Question 1 to 3						Votes	Score					Total	Average
Wolverine	9	4	5	2	0	20	90	36	40	14	0	180	9
Eagle unit	7	4	2	3	4	20	70	36	16	21	20	163	8.15
Union	8	9	3	0	0	20	80	81	24	0	0	185	9.25
													
Presentation_Grade_160617													
Level	10	9	8	7	5								
Question 1 to 3						Votes	Score					Total	Average
Wolverine	7	8	3	1	0	19	70	72	24	7	0	173	9.105263158
Eagle unit	9	7	2	1	0	19	90	63	16	7	0	176	9.263157895
Union	6	7	4	2	0	19	60	63	32	14	0	169	8.894736842
													
Presentation_Grade_160624													
Level	10	9	8	7	5								
Question 1 to 3						Votes	Score					Total	Average
Wolverine	7	8	4	1	1	21	70	72	32	7	5	186	8.857142857
Eagle unit	8	6	2	4	1	21	80	54	16	28	5	183	8.714285714
Union	13	6	2	0	0	21	130	54	16	0	0	200	9.523809524
